Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,343,274,35,29,5
O2-aggressive-instcombine,433 (-90; -26.2%),325 (-51; -18.6%),52 (-17; -48.6%),53 (-24; -82.8%),3 (2; 40.0%)
O2-argpromotion,433 (-90; -26.2%),325 (-51; -18.6%),52 (-17; -48.6%),53 (-24; -82.8%),3 (2; 40.0%)
O2-callsite-splitting,441 (-98; -28.6%),329 (-55; -20.1%),54 (-19; -54.3%),54 (-25; -86.2%),4 (1; 20.0%)
