Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,304,269,18,15,2
O1_foptimize_sibling_calls,304 (0; 0.0%),269 (0; 0.0%),18 (0; 0.0%),15 (0; 0.0%),2 (0; 0.0%)
