Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,7 of 11,15 of 35,7 of 17
O1,9 (-2),29 (-14),11 (-4)
O2,8 (-1),29 (-14),12 (-5)
O3,8 (-1),31 (-16),13 (-6)
