Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,9854,4920,2607,2241,86
O1,14588 (-4734; -48.0%),9705 (-4785; -97.3%),2056 (551; 21.1%),2645 (-404; -18.0%),182 (-96; -111.6%)
O2,13120 (-3266; -33.1%),8778 (-3858; -78.4%),1815 (792; 30.4%),2359 (-118; -5.3%),168 (-82; -95.3%)
O3,13588 (-3734; -37.9%),9342 (-4422; -89.9%),1743 (864; 33.1%),2350 (-109; -4.9%),153 (-67; -77.9%)
