Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,14,12,23,0,1,9,24,0,0,3
O1,21 (-7; -50.0%),17 (-5; -41.7%),87 (-64; -278.3%),0 (0; 0.0%),7 (-6; -600.0%),24 (-15; -166.7%),20 (4; 16.7%),0 (0; 0.0%),0 (0; 0.0%),6 (-3; -100.0%)
O2,14 (0; 0.0%),15 (-3; -25.0%),83 (-60; -260.9%),0 (0; 0.0%),8 (-7; -700.0%),14 (-5; -55.6%),31 (-7; -29.2%),0 (0; 0.0%),0 (0; 0.0%),3 (0; 0.0%)
O3,22 (-8; -57.1%),13 (-1; -8.3%),65 (-42; -182.6%),0 (0; 0.0%),8 (-7; -700.0%),21 (-12; -133.3%),19 (5; 20.8%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
