Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,6209,2642,868,2597,102
O2-aggressive-instcombine,6481 (-272; -4.4%),3319 (-677; -25.6%),1344 (-476; -54.8%),1692 (905; 34.8%),126 (-24; -23.5%)
O2-argpromotion,6481 (-272; -4.4%),3319 (-677; -25.6%),1344 (-476; -54.8%),1692 (905; 34.8%),126 (-24; -23.5%)
O2-callsite-splitting,6469 (-260; -4.2%),3313 (-671; -25.4%),1343 (-475; -54.7%),1694 (903; 34.8%),119 (-17; -16.7%)
