Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O2,24,6,54,0,2,5,11,0,0,0
O2-aggressive-instcombine,19 (5; 20.8%),9 (-3; -50.0%),57 (-3; -5.6%),0 (0; 0.0%),4 (-2; -100.0%),11 (-6; -120.0%),25 (-14; -127.3%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O2-argpromotion,19 (5; 20.8%),9 (-3; -50.0%),57 (-3; -5.6%),0 (0; 0.0%),4 (-2; -100.0%),11 (-6; -120.0%),25 (-14; -127.3%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O2-callsite-splitting,14 (10; 41.7%),8 (-2; -33.3%),56 (-2; -3.7%),0 (0; 0.0%),4 (-2; -100.0%),11 (-6; -120.0%),25 (-14; -127.3%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
