Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,5289,1763,815,2640,71
O1,5448 (-159; -3.0%),1825 (-62; -3.5%),610 (205; 25.2%),2938 (-298; -11.3%),75 (-4; -5.6%)
O2,6414 (-1125; -21.3%),1939 (-176; -10.0%),767 (48; 5.9%),3608 (-968; -36.7%),100 (-29; -40.8%)
O3,6967 (-1678; -31.7%),1821 (-58; -3.3%),774 (41; 5.0%),4271 (-1631; -61.8%),101 (-30; -42.3%)
