Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,1,5,19,0,3,15,26,0,0,2
O1,3 (-2; -200.0%),2 (3; 60.0%),12 (7; 36.8%),0 (0; 0.0%),4 (-1; -33.3%),6 (9; 60.0%),35 (-9; -34.6%),0 (0; 0.0%),0 (0; 0.0%),13 (-11; -550.0%)
O2,0 (1; 100.0%),8 (-3; -60.0%),30 (-11; -57.9%),0 (0; 0.0%),0 (3; 100.0%),16 (-1; -6.7%),34 (-8; -30.8%),0 (0; 0.0%),0 (0; 0.0%),12 (-10; -500.0%)
O3,2 (-1; -100.0%),1 (4; 80.0%),34 (-15; -78.9%),0 (0; 0.0%),1 (2; 66.7%),4 (11; 73.3%),49 (-23; -88.5%),0 (0; 0.0%),0 (0; 0.0%),10 (-8; -400.0%)
