Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O1,5448, ,1825, ,610, ,2938
O1-falign-labels,5448,0.0%,1825,0.0%,610,0.0%,2938,0.0%
O1-fcaller-saves,5563,67.5%,1860,49.4%,547,85.0%,3076,75.3%
O1-fcode-hoisting,5545,62.4%,1840,48.3%,602,85.0%,3030,66.4%
O1-fcrossjumping,5327,60.4%,1828,49.4%,495,82.0%,2927,63.2%
O1-fcse-follow-jumps,5447,60.1%,1844,48.0%,557,84.0%,2973,62.9%
O1-fdevirtualize,5448,0.0%,1825,0.0%,610,0.0%,2938,0.0%
O1-fdevirtualize-speculatively,5448,0.0%,1825,0.0%,610,0.0%,2938,0.0%
O1-fexpensive-optimizations,5663,64.0%,1917,49.4%,609,83.6%,3054,69.1%
O1-fgcse,5871,66.6%,1846,49.0%,617,86.7%,3336,72.6%
O1-fhoist-adjacent-loads,5448,0.0%,1825,0.0%,610,0.0%,2938,0.0%
O1-findirect-inlining,5448,0.0%,1825,0.0%,610,0.0%,2938,0.0%
O1-finline-small-functions,5424,61.2%,1812,47.1%,520,82.9%,3003,65.7%
O1-fipa-bit-cp,5448,0.0%,1825,0.0%,610,0.0%,2938,0.0%
O1-fipa-cp,5419,56.0%,1809,40.8%,576,80.4%,2959,60.5%
O1-fipa-icf,5447,0.4%,1824,0.2%,611,2.1%,2938,0.1%
O1-fipa-icf-functions,5447,0.4%,1824,0.2%,611,2.1%,2938,0.1%
O1-fipa-icf-variables,5448,0.0%,1825,0.0%,610,0.0%,2938,0.0%
O1-fipa-ra,5448,49.2%,1787,36.1%,616,75.2%,2957,51.7%
O1-fipa-sra,5420,56.5%,1824,43.1%,598,79.9%,2920,60.1%
O1-fipa-vrp,5448,0.0%,1825,0.0%,610,0.0%,2938,0.0%
O1-fisolate-erroneous-paths-dereference,5448,0.0%,1825,0.0%,610,0.0%,2938,0.0%
O1-flra-remat,5376,40.8%,1790,32.9%,573,73.3%,2933,39.3%
O1-foptimize-sibling-calls,5452,58.4%,1837,44.0%,616,82.6%,2904,61.9%
O1-foptimize-strlen,5388,51.8%,1811,41.1%,574,80.3%,2923,52.6%
O1-fpartial-inlining,5448,0.0%,1825,0.0%,610,0.0%,2938,0.0%
O1-fpeephole2,5491,64.7%,1873,57.2%,543,84.7%,2985,65.4%
O1-freorder-blocks-and-partition,5448,0.0%,1825,0.0%,610,0.0%,2938,0.0%
O1-freorder-functions,5424,54.4%,1819,39.2%,572,75.3%,2958,59.7%
O1-frerun-cse-after-loop,5420,60.0%,1843,45.3%,565,83.9%,2942,64.4%
O1-fschedule-insns2,5923,65.6%,1824,48.4%,645,63.4%,3375,75.3%
O1-fstore-merging,5392,50.1%,1832,39.8%,539,75.7%,2937,51.6%
O1-fstrict-aliasing,5430,57.0%,1826,41.5%,540,80.7%,2984,62.1%
O1-fstrict-overflow,5414,54.8%,1819,40.1%,547,75.9%,2965,60.1%
O1-fthread-jumps,5371,51.4%,1791,40.1%,583,68.3%,2917,55.2%
O1-ftree-pre,5651,64.1%,1859,50.6%,614,85.8%,3103,67.7%
O1-ftree-switch-conversion,5329,45.8%,1817,37.5%,557,57.6%,2882,48.7%
O1-ftree-tail-merge,5448,0.0%,1825,0.0%,610,0.0%,2938,0.0%
O1-ftree-vrp,5418,61.4%,1861,48.1%,543,83.2%,2928,65.5%
