Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,6393,3172,1313,1809,99
O1,5925 (468; 7.3%),2989 (183; 5.8%),1036 (277; 21.1%),1786 (23; 1.3%),114 (-15; -15.2%)
O2,6665 (-272; -4.3%),2928 (244; 7.7%),1172 (141; 10.7%),2437 (-628; -34.7%),128 (-29; -29.3%)
O3,6611 (-218; -3.4%),2871 (301; 9.5%),963 (350; 26.7%),2678 (-869; -48.0%),99 (0; 0.0%)
