Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,6393, ,3172, ,1313, ,1809
O1,5925,95.0%,2989,94.2%,1036,93.9%,1786,97.1%
O2,6665,95.9%,2928,94.3%,1172,94.9%,2437,98.4%
O3,6611,96.0%,2871,94.3%,963,94.8%,2678,98.5%
