Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,12,7,34,0,1,21,20,0,0,4
O1,16 (-4; -33.3%),11 (-4; -57.1%),15 (19; 55.9%),0 (0; 0.0%),1 (0; 0.0%),14 (7; 33.3%),26 (-6; -30.0%),0 (0; 0.0%),0 (0; 0.0%),31 (-27; -675.0%)
O2,14 (-2; -16.7%),13 (-6; -85.7%),53 (-19; -55.9%),0 (0; 0.0%),4 (-3; -300.0%),15 (6; 28.6%),22 (-2; -10.0%),0 (0; 0.0%),0 (0; 0.0%),7 (-3; -75.0%)
O3,13 (-1; -8.3%),4 (3; 42.9%),38 (-4; -11.8%),0 (0; 0.0%),3 (-2; -200.0%),13 (8; 38.1%),24 (-4; -20.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
