Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,409,1.745721271393643,34,2.0,102,2.2794117647058822
O0-fbranch-count-reg,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-fcombine-stack-adjustments,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-fcompare-elim,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-fcprop-registers,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-fdefer-pop,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-fforward-propagate,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-fguess-branch-probability,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-fif-conversion,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-fif-conversion2,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-finline-functions-called-once,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-fipa-profile,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-fipa-pure-const,396 (13),1.7058080808080809 (0.039913190585562086),35 (-1),2.057142857142857 (-0.05714285714285694),104 (-2),2.0 (0.27941176470588225)
O0-fipa-reference,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-fmove-loop-invariants,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-fomit-frame-pointer,383 (26),1.8315926892950392 (-0.08587141790139619),31 (3),2.7096774193548385 (-0.7096774193548385),54 (48),1.9537037037037037 (0.32570806100217853)
O0-freorder-blocks,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-fshrink-wrap,383 (26),1.6997389033942558 (0.04598236799938715),49 (-15),2.0714285714285716 (-0.07142857142857162),113 (-11),1.9690265486725664 (0.3103852160333158)
O0-fsplit-wide-types,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-fssa-phiopt,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-ftree-bit-ccp,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-ftree-builtin-call-dce,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-ftree-ccp,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-ftree-ch,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-ftree-coalesce-vars,392 (17),1.6760204081632653 (0.06970086323037772),40 (-6),2.1875 (-0.1875),111 (-9),2.2522522522522523 (0.027159512453629908)
O0-ftree-copy-prop,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-ftree-dce,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-ftree-dominator-opts,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-ftree-dse,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-ftree-fre,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-ftree-pta,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-ftree-sink,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-ftree-slsr,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-ftree-sra,409 (0),1.745721271393643 (0.0),34 (0),2.0 (0.0),102 (0),2.2794117647058822 (0.0)
O0-ftree-ter,391 (18),1.7122762148337596 (0.03344505655988339),51 (-17),2.127450980392157 (-0.12745098039215685),123 (-21),2.073170731707317 (0.2062410329985651)
