Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,448, ,327, ,55, ,64
O0-fbranch-count-reg,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fcombine-stack-adjustments,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fcompare-elim,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fcprop-registers,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fdefer-pop,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fforward-propagate,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fguess-branch-probability,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fif-conversion,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fif-conversion2,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-finline-functions-called-once,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fipa-profile,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fipa-pure-const,439,24.1%,322,21.1%,47,40.4%,66,24.2%
O0-fipa-reference,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fmove-loop-invariants,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fomit-frame-pointer,479,91.4%,370,95.1%,27,77.8%,79,79.7%
O0-freorder-blocks,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fshrink-wrap,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fsplit-wide-types,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-fssa-phiopt,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-ftree-bit-ccp,439,17.8%,320,6.6%,48,45.8%,68,48.5%
O0-ftree-builtin-call-dce,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-ftree-ccp,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-ftree-ch,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-ftree-coalesce-vars,464,45.5%,332,38.9%,59,71.2%,71,54.9%
O0-ftree-copy-prop,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-ftree-dce,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-ftree-dominator-opts,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-ftree-dse,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-ftree-fre,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-ftree-pta,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-ftree-sink,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-ftree-slsr,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-ftree-sra,448,0.0%,327,0.0%,55,0.0%,64,0.0%
O0-ftree-ter,464,45.5%,338,39.9%,52,65.4%,72,56.9%
