Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,6 of 11,13 of 35,5 of 17
O0-fbranch-count-reg,6 (0),13 (0),5 (0)
O0-fcombine-stack-adjustments,6 (0),13 (0),5 (0)
O0-fcompare-elim,6 (0),13 (0),5 (0)
O0-fcprop-registers,6 (0),13 (0),5 (0)
O0-fdefer-pop,6 (0),13 (0),5 (0)
O0-fforward-propagate,6 (0),13 (0),5 (0)
O0-fguess-branch-probability,6 (0),13 (0),5 (0)
O0-fif-conversion,6 (0),13 (0),5 (0)
O0-fif-conversion2,6 (0),13 (0),5 (0)
O0-finline-functions-called-once,6 (0),13 (0),5 (0)
O0-fipa-profile,6 (0),13 (0),5 (0)
O0-fipa-pure-const,6 (0),9 (4),4 (1)
O0-fipa-reference,6 (0),13 (0),5 (0)
O0-fmove-loop-invariants,6 (0),13 (0),5 (0)
O0-fomit-frame-pointer,7 (-1),18 (-5),5 (0)
O0-freorder-blocks,6 (0),13 (0),5 (0)
O0-fshrink-wrap,6 (0),13 (0),5 (0)
O0-fsplit-wide-types,6 (0),13 (0),5 (0)
O0-fssa-phiopt,6 (0),13 (0),5 (0)
O0-ftree-bit-ccp,6 (0),9 (4),4 (1)
O0-ftree-builtin-call-dce,6 (0),13 (0),5 (0)
O0-ftree-ccp,6 (0),13 (0),5 (0)
O0-ftree-ch,6 (0),13 (0),5 (0)
O0-ftree-coalesce-vars,7 (-1),9 (4),6 (-1)
O0-ftree-copy-prop,6 (0),13 (0),5 (0)
O0-ftree-dce,6 (0),13 (0),5 (0)
O0-ftree-dominator-opts,6 (0),13 (0),5 (0)
O0-ftree-dse,6 (0),13 (0),5 (0)
O0-ftree-fre,6 (0),13 (0),5 (0)
O0-ftree-pta,6 (0),13 (0),5 (0)
O0-ftree-sink,6 (0),13 (0),5 (0)
O0-ftree-slsr,6 (0),13 (0),5 (0)
O0-ftree-sra,6 (0),13 (0),5 (0)
O0-ftree-ter,7 (-1),10 (3),5 (0)
