Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,327,1.8134556574923548,55,2.2363636363636363,64,1.671875
O0-fbranch-count-reg,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fcombine-stack-adjustments,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fcompare-elim,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fcprop-registers,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fdefer-pop,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fforward-propagate,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fguess-branch-probability,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fif-conversion,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fif-conversion2,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-finline-functions-called-once,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fipa-profile,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fipa-pure-const,322 (5),1.7484472049689441 (0.0650084525234107),47 (8),1.9574468085106382 (0.2789168278529981),66 (-2),1.7651515151515151 (-0.09327651515151514)
O0-fipa-reference,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fmove-loop-invariants,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fomit-frame-pointer,370 (-43),1.8891891891891892 (-0.07573353169683439),27 (28),2.4814814814814814 (-0.24511784511784507),79 (-15),1.860759493670886 (-0.188884493670886)
O0-freorder-blocks,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fshrink-wrap,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fsplit-wide-types,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-fssa-phiopt,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-ftree-bit-ccp,320 (7),1.76875 (0.04470565749235478),48 (7),1.8541666666666667 (0.3821969696969696),68 (-4),1.6544117647058822 (0.01746323529411775)
O0-ftree-builtin-call-dce,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-ftree-ccp,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-ftree-ch,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-ftree-coalesce-vars,332 (-5),1.7740963855421688 (0.03935927195018607),59 (-4),2.288135593220339 (-0.05177195685670277),71 (-7),1.591549295774648 (0.08032570422535201)
O0-ftree-copy-prop,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-ftree-dce,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-ftree-dominator-opts,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-ftree-dse,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-ftree-fre,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-ftree-pta,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-ftree-sink,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-ftree-slsr,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-ftree-sra,327 (0),1.8134556574923548 (0.0),55 (0),2.2363636363636363 (0.0),64 (0),1.671875 (0.0)
O0-ftree-ter,338 (-11),1.6730769230769231 (0.1403787344154317),52 (3),2.0288461538461537 (0.2075174825174826),72 (-8),1.8611111111111112 (-0.18923611111111116)
