Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O1,6 of 11,12 of 35,4 of 17
O1_fcse_follow_jumps,6 (0),12 (0),4 (0)
O1_foptimize_sibling_calls,6 (0),12 (0),4 (0)
O1_fpeephole2,6 (0),12 (0),4 (0)
O1_fstore_merging,6 (0),12 (0),4 (0)
