Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,151,127,5,15,4
O1_fcse_follow_jumps,143 (8; 5.3%),121 (6; 4.7%),6 (-1; -20.0%),13 (2; 13.3%),3 (1; 25.0%)
O1_foptimize_sibling_calls,153 (-2; -1.3%),126 (1; 0.8%),8 (-3; -60.0%),15 (0; 0.0%),4 (0; 0.0%)
O1_fpeephole2,134 (17; 11.3%),121 (6; 4.7%),7 (-2; -40.0%),5 (10; 66.7%),1 (3; 75.0%)
O1_fstore_merging,151 (0; 0.0%),127 (0; 0.0%),5 (0; 0.0%),15 (0; 0.0%),4 (0; 0.0%)
