Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O3,739,606,65,66,2
O3-no-tail-call-elim,707 (32; 4.3%),507 (99; 16.3%),104 (-39; -60.0%),92 (-26; -39.4%),4 (-2; -100.0%)
