Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,9379,4198,2319,2634,228
O1,8844 (535; 5.7%),3341 (857; 20.4%),1454 (865; 37.3%),3845 (-1211; -46.0%),204 (24; 10.5%)
O2,8620 (759; 8.1%),2810 (1388; 33.1%),1851 (468; 20.2%),3615 (-981; -37.2%),344 (-116; -50.9%)
O3,8788 (591; 6.3%),3023 (1175; 28.0%),1718 (601; 25.9%),3728 (-1094; -41.5%),319 (-91; -39.9%)
