Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,44,24,39,0,2,78,40,0,0,1
O1,49 (-5; -11.4%),24 (0; 0.0%),18 (21; 53.8%),0 (0; 0.0%),0 (2; 100.0%),23 (55; 70.5%),51 (-11; -27.5%),0 (0; 0.0%),0 (0; 0.0%),39 (-38; -3800.0%)
O2,62 (-18; -40.9%),39 (-15; -62.5%),114 (-75; -192.3%),0 (0; 0.0%),4 (-2; -100.0%),53 (25; 32.1%),53 (-13; -32.5%),0 (0; 0.0%),0 (0; 0.0%),19 (-18; -1800.0%)
O3,69 (-25; -56.8%),26 (-2; -8.3%),95 (-56; -143.6%),0 (0; 0.0%),8 (-6; -300.0%),44 (34; 43.6%),59 (-19; -47.5%),0 (0; 0.0%),0 (0; 0.0%),18 (-17; -1700.0%)
