Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,9379, ,4198, ,2319, ,2634
O1,8844,95.5%,3341,90.8%,1454,96.8%,3845,98.9%
O2,8620,97.0%,2810,94.4%,1851,97.4%,3615,98.6%
O3,8788,97.0%,3023,94.3%,1718,97.4%,3728,98.8%
