Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,4,4,19,0,3,45,10,0,0,3
O0-loop-load-elim,8 (-4; -100.0%),1 (3; 75.0%),9 (10; 52.6%),0 (0; 0.0%),1 (2; 66.7%),5 (40; 88.9%),13 (-3; -30.0%),0 (0; 0.0%),0 (0; 0.0%),10 (-7; -233.3%)
O0-loop-rotate,11 (-7; -175.0%),2 (2; 50.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),17 (-7; -70.0%),0 (0; 0.0%),0 (0; 0.0%),7 (-4; -133.3%)
O0-loop-simplify,8 (-4; -100.0%),1 (3; 75.0%),9 (10; 52.6%),0 (0; 0.0%),1 (2; 66.7%),5 (40; 88.9%),13 (-3; -30.0%),0 (0; 0.0%),0 (0; 0.0%),10 (-7; -233.3%)
O0-loop-sink,8 (-4; -100.0%),1 (3; 75.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),16 (-6; -60.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-loop-unroll,11 (-7; -175.0%),2 (2; 50.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),17 (-7; -70.0%),0 (0; 0.0%),0 (0; 0.0%),7 (-4; -133.3%)
O0-loop-unswitch,8 (-4; -100.0%),1 (3; 75.0%),9 (10; 52.6%),0 (0; 0.0%),1 (2; 66.7%),5 (40; 88.9%),13 (-3; -30.0%),0 (0; 0.0%),0 (0; 0.0%),10 (-7; -233.3%)
O0-loop-vectorize,8 (-4; -100.0%),1 (3; 75.0%),9 (10; 52.6%),0 (0; 0.0%),1 (2; 66.7%),5 (40; 88.9%),13 (-3; -30.0%),0 (0; 0.0%),0 (0; 0.0%),10 (-7; -233.3%)
O0-memcpyopt,8 (-4; -100.0%),1 (3; 75.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),16 (-6; -60.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-prune-eh,8 (-4; -100.0%),1 (3; 75.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),16 (-6; -60.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-reassociate,11 (-7; -175.0%),2 (2; 50.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),17 (-7; -70.0%),0 (0; 0.0%),0 (0; 0.0%),7 (-4; -133.3%)
O0-sccp,9 (-5; -125.0%),3 (1; 25.0%),12 (7; 36.8%),0 (0; 0.0%),1 (2; 66.7%),2 (43; 95.6%),14 (-4; -40.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-simplifycfg,11 (-7; -175.0%),2 (2; 50.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),17 (-7; -70.0%),0 (0; 0.0%),0 (0; 0.0%),7 (-4; -133.3%)
O0-speculative-execution,8 (-4; -100.0%),3 (1; 25.0%),11 (8; 42.1%),0 (0; 0.0%),1 (2; 66.7%),4 (41; 91.1%),14 (-4; -40.0%),0 (0; 0.0%),0 (0; 0.0%),8 (-5; -166.7%)
O0-sroa,9 (-5; -125.0%),3 (1; 25.0%),12 (7; 36.8%),0 (0; 0.0%),1 (2; 66.7%),2 (43; 95.6%),14 (-4; -40.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
O0-strip-dead-prototypes,8 (-4; -100.0%),3 (1; 25.0%),11 (8; 42.1%),0 (0; 0.0%),1 (2; 66.7%),4 (41; 91.1%),14 (-4; -40.0%),0 (0; 0.0%),0 (0; 0.0%),8 (-5; -166.7%)
O0-tailcallelim,11 (-7; -175.0%),2 (2; 50.0%),14 (5; 26.3%),0 (0; 0.0%),0 (3; 100.0%),3 (42; 93.3%),17 (-7; -70.0%),0 (0; 0.0%),0 (0; 0.0%),7 (-4; -133.3%)
