Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,320,271,34,13,2
O2_fipa_cp_clone,320 (0; 0.0%),271 (0; 0.0%),34 (0; 0.0%),13 (0; 0.0%),2 (0; 0.0%)
