Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,737,480,158,93,6
O1_foptimize_sibling_calls,737 (0; 0.0%),480 (0; 0.0%),158 (0; 0.0%),93 (0; 0.0%),6 (0; 0.0%)
