Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O2,0, ,8, ,30, ,0, ,0, ,16, ,34, ,0, ,0, ,12
O2-fgcse-after-reload,1,100.0%,7,0.0%,31,6.5%,0,0.0%,0,0.0%,16,0.0%,29,3.4%,0,0.0%,0,0.0%,13,7.7%
O2-finline-functions,4,100.0%,2,100.0%,30,60.0%,0,0.0%,1,100.0%,14,100.0%,35,88.6%,0,0.0%,0,0.0%,13,46.2%
O2-fipa-cp-clone,2,100.0%,5,100.0%,25,20.0%,0,0.0%,2,100.0%,9,100.0%,48,83.3%,0,0.0%,0,0.0%,11,27.3%
O2-fpeel-loops,1,100.0%,3,100.0%,35,42.9%,0,0.0%,1,100.0%,6,100.0%,50,90.0%,0,0.0%,0,0.0%,9,11.1%
O2-fpredictive-commoning,1,100.0%,8,100.0%,31,35.5%,0,0.0%,1,100.0%,9,77.8%,39,76.9%,0,0.0%,0,0.0%,9,11.1%
O2-fsplit-loops,0,0.0%,8,0.0%,30,0.0%,0,0.0%,0,0.0%,16,0.0%,34,0.0%,0,0.0%,0,0.0%,12,0.0%
O2-fsplit-paths,0,0.0%,3,100.0%,28,25.0%,0,0.0%,2,100.0%,11,90.9%,30,70.0%,0,0.0%,0,0.0%,10,20.0%
O2-ftree-loop-distribute-patterns,3,100.0%,7,100.0%,30,26.7%,0,0.0%,0,0.0%,11,72.7%,28,50.0%,0,0.0%,0,0.0%,11,9.1%
O2-ftree-loop-vectorize,0,0.0%,5,100.0%,29,34.5%,0,0.0%,1,100.0%,12,91.7%,44,84.1%,0,0.0%,0,0.0%,9,11.1%
O2-ftree-partial-pre,1,100.0%,4,100.0%,30,36.7%,0,0.0%,0,0.0%,8,87.5%,47,85.1%,0,0.0%,0,0.0%,12,33.3%
O2-ftree-slp-vectorize,1,100.0%,7,100.0%,28,14.3%,0,0.0%,1,100.0%,12,83.3%,31,58.1%,0,0.0%,0,0.0%,11,9.1%
O2-funswitch-loops,0,0.0%,7,100.0%,36,44.4%,0,0.0%,0,0.0%,11,100.0%,35,82.9%,0,0.0%,0,0.0%,11,27.3%
