Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O2,9 of 11,34 of 35,16 of 17
O2-fgcse-after-reload,9 (0),34 (0),16 (0)
O2-finline-functions,9 (0),33 (1),16 (0)
O2-fipa-cp-clone,9 (0),34 (0),16 (0)
O2-fpeel-loops,9 (0),34 (0),16 (0)
O2-fpredictive-commoning,9 (0),34 (0),16 (0)
O2-fsplit-loops,9 (0),34 (0),16 (0)
O2-fsplit-paths,9 (0),34 (0),16 (0)
O2-ftree-loop-distribute-patterns,9 (0),34 (0),16 (0)
O2-ftree-loop-vectorize,9 (0),34 (0),16 (0)
O2-ftree-partial-pre,9 (0),34 (0),15 (1)
O2-ftree-slp-vectorize,9 (0),33 (1),14 (2)
O2-funswitch-loops,9 (0),34 (0),15 (1)
