Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O2,6414, ,1939, ,767, ,3608
O2-fgcse-after-reload,6415,4.1%,1941,1.3%,754,7.4%,3623,4.9%
O2-finline-functions,6912,59.0%,1780,48.5%,714,77.5%,4319,59.9%
O2-fipa-cp-clone,6530,41.2%,1943,33.8%,739,65.8%,3746,39.6%
O2-fpeel-loops,6480,40.2%,1921,33.8%,798,65.0%,3656,37.4%
O2-fpredictive-commoning,6554,38.7%,1930,33.4%,773,61.2%,3753,36.3%
O2-fsplit-loops,6414,0.0%,1939,0.0%,767,0.0%,3608,0.0%
O2-fsplit-paths,6515,39.5%,1925,34.9%,773,61.7%,3733,37.0%
O2-ftree-loop-distribute-patterns,6500,36.5%,1945,33.9%,892,62.3%,3573,31.2%
O2-ftree-loop-vectorize,6533,42.8%,1985,37.8%,787,67.5%,3661,39.6%
O2-ftree-partial-pre,6412,43.3%,1944,38.8%,733,62.6%,3633,41.2%
O2-ftree-slp-vectorize,6453,36.1%,1959,35.0%,765,55.2%,3638,32.4%
O2-funswitch-loops,6488,40.0%,1923,33.1%,762,63.4%,3703,38.1%
