Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O2,1939,1.4494584837545126,767,1.863102998696219,3608,1.8220620842572062
O2-fgcse-after-reload,1941 (-2),1.4567233384853169 (-0.007264854730804293),754 (13),1.8759946949602122 (-0.012891696263993113),3623 (-15),1.8233508142423407 (-0.001288729985134518)
O2-finline-functions,1780 (159),1.3792134831460674 (0.07024500060844519),714 (53),1.7338935574229692 (0.12920944127324985),4319 (-711),1.8028478814540403 (0.01921420280316588)
O2-fipa-cp-clone,1943 (-4),1.4516212043232115 (-0.002162720568698928),739 (28),1.8437077131258457 (0.0193952855703734),3746 (-138),1.8459690336358783 (-0.023906949378672104)
O2-fpeel-loops,1921 (18),1.45288912024987 (-0.003430636495357353),798 (-31),1.7286967418546366 (0.13440625684158247),3656 (-48),1.8531181619256019 (-0.031056077668395687)
O2-fpredictive-commoning,1930 (9),1.4655440414507772 (-0.01608555769626463),773 (-6),1.8188874514877102 (0.04421554720850884),3753 (-145),1.8457234212629896 (-0.023661337005783434)
O2-fsplit-loops,1939 (0),1.4494584837545126 (0.0),767 (0),1.863102998696219 (0.0),3608 (0),1.8220620842572062 (0.0)
O2-fsplit-paths,1925 (14),1.4483116883116882 (0.0011467954428243665),773 (-6),1.7658473479948253 (0.09725565070139375),3733 (-125),1.839941066166622 (-0.017878981909415836)
O2-ftree-loop-distribute-patterns,1945 (-6),1.4562982005141387 (-0.0068397167596261355),892 (-125),1.6278026905829597 (0.23530030811325942),3573 (35),1.8481668066050938 (-0.026104722347887632)
O2-ftree-loop-vectorize,1985 (-46),1.4501259445843828 (-0.0006674608298702367),787 (-20),1.673443456162643 (0.1896595425335761),3661 (-53),1.8403441682600383 (-0.018282084002832155)
O2-ftree-partial-pre,1944 (-5),1.4565329218106995 (-0.007074438056186905),733 (34),1.7660300136425648 (0.09707298505365425),3633 (-25),1.8217726396917149 (0.0002894445654912925)
O2-ftree-slp-vectorize,1959 (-20),1.4545686574783052 (-0.005110173723792633),765 (2),1.7777777777777777 (0.08532522091844141),3638 (-30),1.8629741616272677 (-0.04091207737006153)
O2-funswitch-loops,1923 (16),1.4498179927197088 (-0.0003595089651962091),762 (5),1.818241469816273 (0.0448615288799461),3703 (-95),1.8320280853362139 (-0.009966001079007691)
