Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,8 of 11,25 of 35,11 of 17
O0_fomit_frame_pointer,6 (2),20 (5),7 (4)
O0_fshrink_wrap,8 (0),23 (2),10 (1)
