Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,294,183,23,84,4
O0_fomit_frame_pointer,353 (-59; -20.1%),270 (-87; -47.5%),12 (11; 47.8%),70 (14; 16.7%),1 (3; 75.0%)
O0_tailcallelim,342 (-48; -16.3%),212 (-29; -15.8%),66 (-43; -187.0%),62 (22; 26.2%),2 (2; 50.0%)
