Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,0,0,1,0,0,1,0,0,0,0
O0-loop-load-elim,0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-loop-rotate,0 (0; 0.0%),0 (0; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),2 (-2; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-loop-simplify,0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-loop-sink,0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-loop-unroll,0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-loop-unswitch,0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-loop-vectorize,0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-memcpyopt,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O0-prune-eh,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O0-reassociate,0 (0; 0.0%),0 (0; 0.0%),2 (-1; -100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-sccp,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O0-simplifycfg,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-speculative-execution,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O0-sroa,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0-strip-dead-prototypes,0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O0-tailcallelim,0 (0; 0.0%),0 (0; 0.0%),8 (-7; -700.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
