Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,4640,2086,944,1504,106
O1,4363 (277; 6.0%),2027 (59; 2.8%),1021 (-77; -8.2%),1245 (259; 17.2%),70 (36; 34.0%)
O2,4879 (-239; -5.2%),2224 (-138; -6.6%),1158 (-214; -22.7%),1424 (80; 5.3%),73 (33; 31.1%)
O3,5392 (-752; -16.2%),2308 (-222; -10.6%),1250 (-306; -32.4%),1743 (-239; -15.9%),91 (15; 14.2%)
