Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,4,12,24,0,3,40,20,0,0,3
O1,3 (1; 25.0%),15 (-3; -25.0%),19 (5; 20.8%),0 (0; 0.0%),2 (1; 33.3%),11 (29; 72.5%),11 (9; 45.0%),0 (0; 0.0%),0 (0; 0.0%),9 (-6; -200.0%)
O2,4 (0; 0.0%),9 (3; 25.0%),33 (-9; -37.5%),0 (0; 0.0%),1 (2; 66.7%),9 (31; 77.5%),13 (7; 35.0%),0 (0; 0.0%),0 (0; 0.0%),4 (-1; -33.3%)
O3,5 (-1; -25.0%),14 (-2; -16.7%),43 (-19; -79.2%),0 (0; 0.0%),1 (2; 66.7%),13 (27; 67.5%),10 (10; 50.0%),0 (0; 0.0%),0 (0; 0.0%),5 (-2; -66.7%)
