Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,599,392,74,122,11
O1,697 (-98; -16.4%),576 (-184; -46.9%),63 (11; 14.9%),53 (69; 56.6%),5 (6; 54.5%)
O2,722 (-123; -20.5%),573 (-181; -46.2%),89 (-15; -20.3%),54 (68; 55.7%),6 (5; 45.5%)
O3,847 (-248; -41.4%),674 (-282; -71.9%),100 (-26; -35.1%),65 (57; 46.7%),8 (3; 27.3%)
