Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,599, ,392, ,74, ,122
O1,697,94.1%,576,92.9%,63,100.0%,53,100.0%
O2,722,94.9%,573,93.5%,89,100.0%,54,100.0%
O3,847,94.3%,674,93.5%,100,99.0%,65,95.4%
