Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,421, ,268, ,60, ,91
O1,585,95.7%,413,96.6%,72,94.4%,97,93.8%
O2,544,96.1%,349,95.4%,77,98.7%,117,97.4%
O3,559,96.2%,373,95.7%,69,98.6%,113,97.3%
