Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,421,268,60,91,2
O1,585 (-164; -39.0%),413 (-145; -54.1%),72 (-12; -20.0%),97 (-6; -6.6%),3 (-1; -50.0%)
O2,544 (-123; -29.2%),349 (-81; -30.2%),77 (-17; -28.3%),117 (-26; -28.6%),1 (1; 50.0%)
O3,559 (-138; -32.8%),373 (-105; -39.2%),69 (-9; -15.0%),113 (-22; -24.2%),4 (-2; -100.0%)
