Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,770, ,341, ,311, ,100
O1,559,93.0%,328,89.6%,124,97.6%,95,97.9%
O2,472,90.9%,304,87.2%,90,97.8%,71,97.2%
O3,570,92.1%,380,88.7%,127,98.4%,54,100.0%
