Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O2,3,3,6,0,0,1,0,0,0,0
O2-aggressive-instcombine,0 (3; 100.0%),0 (3; 100.0%),7 (-1; -16.7%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2-argpromotion,0 (3; 100.0%),0 (3; 100.0%),7 (-1; -16.7%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2-callsite-splitting,0 (3; 100.0%),0 (3; 100.0%),7 (-1; -16.7%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
