Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,462,348,60,41,13
O2-aggressive-instcombine,394 (68; 14.7%),307 (41; 11.8%),45 (15; 25.0%),33 (8; 19.5%),9 (4; 30.8%)
O2-argpromotion,394 (68; 14.7%),307 (41; 11.8%),45 (15; 25.0%),33 (8; 19.5%),9 (4; 30.8%)
O2-callsite-splitting,394 (68; 14.7%),307 (41; 11.8%),45 (15; 25.0%),33 (8; 19.5%),9 (4; 30.8%)
