Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,451,342,55,42,12
O1-constmerge,392 (59; 13.1%),312 (30; 8.8%),40 (15; 27.3%),29 (13; 31.0%),11 (1; 8.3%)
O1-elim-avail-extern,392 (59; 13.1%),312 (30; 8.8%),40 (15; 27.3%),29 (13; 31.0%),11 (1; 8.3%)
O1-gvn,393 (58; 12.9%),315 (27; 7.9%),40 (15; 27.3%),28 (14; 33.3%),10 (2; 16.7%)
O1-inline,393 (58; 12.9%),315 (27; 7.9%),40 (15; 27.3%),28 (14; 33.3%),10 (2; 16.7%)
O1-mldst-motion,392 (59; 13.1%),312 (30; 8.8%),40 (15; 27.3%),29 (13; 31.0%),11 (1; 8.3%)
O1-slp-vectorizer,392 (59; 13.1%),312 (30; 8.8%),40 (15; 27.3%),29 (13; 31.0%),11 (1; 8.3%)
