Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,3,0,8,0,0,1,0,0,0,0
O1-constmerge,1 (2; 66.7%),0 (0; 0.0%),8 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-elim-avail-extern,1 (2; 66.7%),0 (0; 0.0%),8 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-gvn,1 (2; 66.7%),0 (0; 0.0%),8 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-inline,1 (2; 66.7%),0 (0; 0.0%),8 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-mldst-motion,1 (2; 66.7%),0 (0; 0.0%),8 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1-slp-vectorizer,1 (2; 66.7%),0 (0; 0.0%),8 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
