Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,7863,3740,1859,2118,146
O1-constmerge,6900 (963; 12.2%),3290 (450; 12.0%),1653 (206; 11.1%),1853 (265; 12.5%),104 (42; 28.8%)
O1-elim-avail-extern,6900 (963; 12.2%),3290 (450; 12.0%),1653 (206; 11.1%),1853 (265; 12.5%),104 (42; 28.8%)
O1-gvn,6914 (949; 12.1%),3248 (492; 13.2%),1747 (112; 6.0%),1817 (301; 14.2%),102 (44; 30.1%)
O1-inline,6900 (963; 12.2%),3290 (450; 12.0%),1653 (206; 11.1%),1853 (265; 12.5%),104 (42; 28.8%)
O1-mldst-motion,6900 (963; 12.2%),3290 (450; 12.0%),1653 (206; 11.1%),1853 (265; 12.5%),104 (42; 28.8%)
O1-slp-vectorizer,6880 (983; 12.5%),3285 (455; 12.2%),1638 (221; 11.9%),1850 (268; 12.7%),107 (39; 26.7%)
