Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,13,15,58,0,5,21,24,0,0,10
O1-constmerge,13 (0; 0.0%),6 (9; 60.0%),47 (11; 19.0%),0 (0; 0.0%),3 (2; 40.0%),11 (10; 47.6%),16 (8; 33.3%),0 (0; 0.0%),0 (0; 0.0%),8 (2; 20.0%)
O1-elim-avail-extern,13 (0; 0.0%),6 (9; 60.0%),47 (11; 19.0%),0 (0; 0.0%),3 (2; 40.0%),11 (10; 47.6%),16 (8; 33.3%),0 (0; 0.0%),0 (0; 0.0%),8 (2; 20.0%)
O1-gvn,17 (-4; -30.8%),6 (9; 60.0%),42 (16; 27.6%),0 (0; 0.0%),3 (2; 40.0%),11 (10; 47.6%),20 (4; 16.7%),0 (0; 0.0%),0 (0; 0.0%),3 (7; 70.0%)
O1-inline,13 (0; 0.0%),6 (9; 60.0%),47 (11; 19.0%),0 (0; 0.0%),3 (2; 40.0%),11 (10; 47.6%),16 (8; 33.3%),0 (0; 0.0%),0 (0; 0.0%),8 (2; 20.0%)
O1-mldst-motion,13 (0; 0.0%),6 (9; 60.0%),47 (11; 19.0%),0 (0; 0.0%),3 (2; 40.0%),11 (10; 47.6%),16 (8; 33.3%),0 (0; 0.0%),0 (0; 0.0%),8 (2; 20.0%)
O1-slp-vectorizer,13 (0; 0.0%),6 (9; 60.0%),50 (8; 13.8%),0 (0; 0.0%),3 (2; 40.0%),11 (10; 47.6%),16 (8; 33.3%),0 (0; 0.0%),0 (0; 0.0%),8 (2; 20.0%)
