Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,8620,2810,1851,3615,344
O2_fipa_cp_clone,8547 (73; 0.8%),2783 (27; 1.0%),1839 (12; 0.6%),3580 (35; 1.0%),345 (-1; -0.3%)
