Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O2,10 of 11,34 of 35,17 of 17
O2-fgcse-after-reload,11 (-1),35 (-1),17 (0)
O2-finline-functions,11 (-1),35 (-1),17 (0)
O2-fipa-cp-clone,10 (0),34 (0),17 (0)
O2-fpeel-loops,10 (0),34 (0),17 (0)
O2-fpredictive-commoning,10 (0),34 (0),17 (0)
O2-fsplit-loops,10 (0),34 (0),17 (0)
O2-fsplit-paths,10 (0),34 (0),17 (0)
O2-ftree-loop-distribute-patterns,10 (0),34 (0),17 (0)
O2-ftree-loop-vectorize,10 (0),34 (0),17 (0)
O2-ftree-partial-pre,11 (-1),35 (-1),17 (0)
O2-ftree-slp-vectorize,10 (0),34 (0),17 (0)
O2-funswitch-loops,11 (-1),35 (-1),17 (0)
