Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O2,13537, ,7352, ,2703, ,3259
O2-fgcse-after-reload,13488,42.8%,7375,31.6%,2597,65.3%,3304,49.6%
O2-finline-functions,13142,66.7%,6656,54.7%,2500,86.9%,3729,73.5%
O2-fipa-cp-clone,13867,54.8%,7423,41.5%,2785,81.5%,3404,60.3%
O2-fpeel-loops,13663,52.2%,7370,39.2%,2736,79.3%,3348,57.6%
O2-fpredictive-commoning,13337,36.4%,7340,22.5%,2631,61.2%,3148,46.8%
O2-fsplit-loops,13408,44.6%,7294,31.0%,2691,71.6%,3199,51.8%
O2-fsplit-paths,13499,52.4%,7324,39.3%,2624,79.9%,3343,58.5%
O2-ftree-loop-distribute-patterns,13432,36.2%,7333,25.2%,2676,57.4%,3218,43.3%
O2-ftree-loop-vectorize,13709,52.9%,7361,39.3%,2704,80.2%,3363,58.7%
O2-ftree-partial-pre,13620,52.9%,7417,40.6%,2730,80.4%,3242,56.4%
O2-ftree-slp-vectorize,13500,53.6%,7266,40.2%,2752,82.1%,3264,57.9%
O2-funswitch-loops,13641,53.2%,7335,39.5%,2734,80.7%,3328,59.4%
