Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O2,7352,1.8184167573449401,2703,1.726600073991861,3259,1.6839521325559987
O2-fgcse-after-reload,7375 (-23),1.8098983050847457 (0.008518452260194431),2597 (106),1.7044666923373122 (0.02213338165454881),3304 (-45),1.6871973365617434 (-0.003245204005744684)
O2-finline-functions,6656 (696),1.7638972355769231 (0.054519521768017),2500 (203),1.7026 (0.024000073991861104),3729 (-470),1.682086350227943 (0.0018657823280556762)
O2-fipa-cp-clone,7423 (-71),1.834029368179981 (-0.015612610835040952),2785 (-82),1.6856373429084381 (0.040962731083422854),3404 (-145),1.6380728554641597 (0.04587927709183903)
O2-fpeel-loops,7370 (-18),1.8078697421981005 (0.010547015146839644),2736 (-33),1.7163742690058479 (0.01022580498601311),3348 (-89),1.621415770609319 (0.06253636194667966)
O2-fpredictive-commoning,7340 (12),1.8016348773841961 (0.016781879960743984),2631 (72),1.7489547700494108 (-0.022354696057549805),3148 (111),1.627700127064803 (0.05625200549119569)
O2-fsplit-loops,7294 (58),1.8138195777351247 (0.004597179609815427),2691 (12),1.6898922333704942 (0.03670784062136678),3199 (60),1.6150359487339794 (0.06891618382201936)
O2-fsplit-paths,7324 (28),1.8062534134352812 (0.012163343909658897),2624 (79),1.6592987804878048 (0.06730129350405623),3343 (-84),1.6682620400837571 (0.015690092472241624)
O2-ftree-loop-distribute-patterns,7333 (19),1.8189690440474566 (-0.0005522867025165024),2676 (27),1.7001121076233183 (0.02648796636854267),3218 (41),1.6528899937849597 (0.031062138771039027)
O2-ftree-loop-vectorize,7361 (-9),1.8254313272653173 (-0.007014569920377189),2704 (-1),1.6789940828402368 (0.04760599115162423),3363 (-104),1.6324710080285458 (0.051481124527452904)
O2-ftree-partial-pre,7417 (-65),1.8159633274908993 (0.002453429854040845),2730 (-27),1.718864468864469 (0.00773560512739202),3242 (17),1.5959284392350401 (0.08802369332095861)
O2-ftree-slp-vectorize,7266 (86),1.8223231489127443 (-0.003906391567804146),2752 (-49),1.7298328488372092 (-0.0032327748453482297),3264 (-5),1.6200980392156863 (0.06385409334031245)
O2-funswitch-loops,7335 (17),1.8149965916837083 (0.003420165661231822),2734 (-31),1.6795903438185809 (0.04700973017328014),3328 (-69),1.6932091346153846 (-0.009257002059385844)
