Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,301,229,22,49,1
O1_fcse_follow_jumps,302 (-1; -0.3%),223 (6; 2.6%),22 (0; 0.0%),56 (-7; -14.3%),1 (0; 0.0%)
O1_foptimize_sibling_calls,307 (-6; -2.0%),229 (0; 0.0%),21 (1; 4.5%),56 (-7; -14.3%),1 (0; 0.0%)
O1_fpeephole2,312 (-11; -3.7%),232 (-3; -1.3%),12 (10; 45.5%),66 (-17; -34.7%),2 (-1; -100.0%)
O1_fstore_merging,312 (-11; -3.7%),226 (3; 1.3%),22 (0; 0.0%),63 (-14; -28.6%),1 (0; 0.0%)
