Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O1,389,1.5347043701799485,59,2.1186440677966103,42,2.1785714285714284
O1-falign-labels,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-fcaller-saves,356 (33),1.4775280898876404 (0.057176280292308146),59 (0),2.2288135593220337 (-0.11016949152542344),71 (-29),1.8450704225352113 (0.33350100603621713)
O1-fcode-hoisting,358 (31),1.547486033519553 (-0.01278166333960451),73 (-14),2.191780821917808 (-0.0731367541211978),50 (-8),1.65 (0.5285714285714285)
O1-fcrossjumping,372 (17),1.5228494623655915 (0.011854907814357052),59 (0),1.6016949152542372 (0.5169491525423731),41 (1),1.5975609756097562 (0.5810104529616722)
O1-fcse-follow-jumps,386 (3),1.471502590673575 (0.06320177950637351),56 (3),2.169642857142857 (-0.05099878934624691),45 (-3),1.7 (0.4785714285714284)
O1-fdevirtualize,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-fdevirtualize-speculatively,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-fexpensive-optimizations,370 (19),1.5054054054054054 (0.02929896477454319),46 (13),1.9456521739130435 (0.17299189388356684),48 (-6),1.6666666666666667 (0.5119047619047616)
O1-fgcse,381 (8),1.4356955380577427 (0.09900883212220579),50 (9),2.37 (-0.2513559322033898),59 (-17),1.8220338983050848 (0.3565375302663436)
O1-fhoist-adjacent-loads,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-findirect-inlining,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-finline-small-functions,363 (26),1.5303030303030303 (0.004401339876918264),40 (19),2.125 (-0.0063559322033897026),42 (0),1.7619047619047619 (0.4166666666666665)
O1-fipa-bit-cp,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-fipa-cp,379 (10),1.5118733509234827 (0.0228310192564658),57 (2),1.7280701754385965 (0.39057389235801376),42 (0),2.0357142857142856 (0.1428571428571428)
O1-fipa-icf,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-fipa-icf-functions,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-fipa-icf-variables,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-fipa-ra,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-fipa-sra,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-fipa-vrp,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-fisolate-erroneous-paths-dereference,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-flra-remat,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-foptimize-sibling-calls,393 (-4),1.4974554707379135 (0.03724889944203502),54 (5),1.9259259259259258 (0.19271814187068448),53 (-11),2.047169811320755 (0.13140161725067356)
O1-foptimize-strlen,375 (14),1.5333333333333334 (0.0013710368466151035),54 (5),2.009259259259259 (0.10938480853735122),49 (-7),1.8979591836734695 (0.2806122448979589)
O1-fpartial-inlining,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-fpeephole2,372 (17),1.48252688172043 (0.05217748845951853),64 (-5),2.078125 (0.0405190677966103),51 (-9),1.803921568627451 (0.37464985994397737)
O1-freorder-blocks-and-partition,389 (0),1.5347043701799485 (0.0),59 (0),2.1186440677966103 (0.0),42 (0),2.1785714285714284 (0.0)
O1-freorder-functions,374 (15),1.5454545454545454 (-0.010750175274596874),45 (14),2.1666666666666665 (-0.04802259887005622),62 (-20),1.8709677419354838 (0.3076036866359446)
O1-frerun-cse-after-loop,368 (21),1.4945652173913044 (0.040139152788644106),64 (-5),2.4375 (-0.3188559322033897),56 (-14),1.9196428571428572 (0.2589285714285712)
O1-fschedule-insns2,371 (18),1.4447439353099731 (0.0899604348699754),56 (3),1.7589285714285714 (0.3597154963680389),40 (2),2.6375 (-0.4589285714285718)
O1-fstore-merging,385 (4),1.474025974025974 (0.06067839615397452),60 (-1),2.066666666666667 (0.051977401129943424),49 (-7),1.969387755102041 (0.2091836734693875)
O1-fstrict-aliasing,384 (5),1.5703125 (-0.03560812982005146),46 (13),1.9456521739130435 (0.17299189388356684),44 (-2),2.0568181818181817 (0.12175324675324672)
O1-fstrict-overflow,366 (23),1.5587431693989071 (-0.024038799218958573),52 (7),2.230769230769231 (-0.11212516297262054),48 (-6),1.7916666666666667 (0.38690476190476164)
O1-fthread-jumps,388 (1),1.5605670103092784 (-0.025862640129329817),39 (20),2.1025641025641026 (0.016079965232507654),41 (1),2.158536585365854 (0.020034843205574582)
O1-ftree-pre,367 (22),1.4700272479564032 (0.06467712222354538),65 (-6),2.3230769230769233 (-0.20443285528031296),50 (-8),1.78 (0.39857142857142835)
