Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O1,495, ,389, ,59, ,42
O1-falign-labels,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-fcaller-saves,492,47.0%,356,37.1%,59,64.4%,71,80.3%
O1-fcode-hoisting,485,40.2%,358,30.2%,73,64.4%,50,76.0%
O1-fcrossjumping,474,42.8%,372,34.9%,59,69.5%,41,78.0%
O1-fcse-follow-jumps,496,41.1%,386,35.2%,56,53.6%,45,68.9%
O1-fdevirtualize,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-fdevirtualize-speculatively,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-fexpensive-optimizations,469,37.5%,370,32.2%,46,43.5%,48,70.8%
O1-fgcse,496,46.0%,381,40.9%,50,48.0%,59,74.6%
O1-fhoist-adjacent-loads,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-findirect-inlining,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-finline-small-functions,450,23.6%,363,17.6%,40,32.5%,42,61.9%
O1-fipa-bit-cp,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-fipa-cp,483,26.1%,379,18.5%,57,50.9%,42,57.1%
O1-fipa-icf,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-fipa-icf-functions,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-fipa-icf-variables,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-fipa-ra,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-fipa-sra,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-fipa-vrp,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-fisolate-erroneous-paths-dereference,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-flra-remat,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-foptimize-sibling-calls,504,32.3%,393,24.7%,54,46.3%,53,73.6%
O1-foptimize-strlen,481,26.6%,375,18.7%,54,46.3%,49,65.3%
O1-fpartial-inlining,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-fpeephole2,489,46.8%,372,40.3%,64,59.4%,51,80.4%
O1-freorder-blocks-and-partition,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-freorder-functions,483,33.7%,374,25.9%,45,44.4%,62,74.2%
O1-frerun-cse-after-loop,493,35.7%,368,25.8%,64,57.8%,56,73.2%
O1-fschedule-insns2,475,38.1%,371,33.4%,56,44.6%,40,65.0%
O1-fstore-merging,498,24.9%,385,15.6%,60,50.0%,49,65.3%
O1-fstrict-aliasing,478,10.7%,384,3.4%,46,28.3%,44,52.3%
O1-fstrict-overflow,471,27.6%,366,19.1%,52,50.0%,48,64.6%
O1-fthread-jumps,470,10.6%,388,6.2%,39,12.8%,41,51.2%
O1-ftree-pre,490,45.1%,367,37.3%,65,64.6%,50,72.0%
O1-ftree-switch-conversion,503,7.2%,390,4.1%,68,23.5%,41,7.3%
O1-ftree-tail-merge,495,0.0%,389,0.0%,59,0.0%,42,0.0%
O1-ftree-vrp,475,40.2%,363,33.3%,71,63.4%,39,64.1%
