Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O1,7 of 11,22 of 35,8 of 17
O1-falign-labels,7 (0),22 (0),8 (0)
O1-fcaller-saves,7 (0),22 (0),10 (-2)
O1-fcode-hoisting,7 (0),23 (-1),8 (0)
O1-fcrossjumping,7 (0),25 (-3),10 (-2)
O1-fcse-follow-jumps,6 (1),24 (-2),10 (-2)
O1-fdevirtualize,7 (0),22 (0),8 (0)
O1-fdevirtualize-speculatively,7 (0),22 (0),8 (0)
O1-fexpensive-optimizations,7 (0),29 (-7),13 (-5)
O1-fgcse,6 (1),23 (-1),10 (-2)
O1-fhoist-adjacent-loads,7 (0),22 (0),8 (0)
O1-findirect-inlining,7 (0),22 (0),8 (0)
O1-finline-small-functions,7 (0),24 (-2),9 (-1)
O1-fipa-bit-cp,7 (0),22 (0),8 (0)
O1-fipa-cp,7 (0),22 (0),9 (-1)
O1-fipa-icf,7 (0),22 (0),8 (0)
O1-fipa-icf-functions,7 (0),22 (0),8 (0)
O1-fipa-icf-variables,7 (0),22 (0),8 (0)
O1-fipa-ra,7 (0),22 (0),8 (0)
O1-fipa-sra,7 (0),22 (0),8 (0)
O1-fipa-vrp,7 (0),22 (0),8 (0)
O1-fisolate-erroneous-paths-dereference,7 (0),22 (0),8 (0)
O1-flra-remat,7 (0),22 (0),8 (0)
O1-foptimize-sibling-calls,7 (0),23 (-1),8 (0)
O1-foptimize-strlen,8 (-1),25 (-3),11 (-3)
O1-fpartial-inlining,7 (0),22 (0),8 (0)
O1-fpeephole2,8 (-1),26 (-4),11 (-3)
O1-freorder-blocks-and-partition,7 (0),22 (0),8 (0)
O1-freorder-functions,8 (-1),24 (-2),10 (-2)
O1-frerun-cse-after-loop,6 (1),24 (-2),11 (-3)
O1-fschedule-insns2,7 (0),25 (-3),8 (0)
O1-fstore-merging,7 (0),24 (-2),9 (-1)
O1-fstrict-aliasing,7 (0),23 (-1),8 (0)
O1-fstrict-overflow,7 (0),24 (-2),9 (-1)
O1-fthread-jumps,7 (0),22 (0),9 (-1)
O1-ftree-pre,6 (1),26 (-4),10 (-2)
O1-ftree-switch-conversion,7 (0),22 (0),9 (-1)
O1-ftree-tail-merge,7 (0),22 (0),8 (0)
O1-ftree-vrp,9 (-2),25 (-3),10 (-2)
