Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O2,14, ,13, ,53, ,0, ,4, ,15, ,22, ,0, ,0, ,7
O2-fgcse-after-reload,12,33.3%,4,100.0%,48,27.1%,0,0.0%,3,66.7%,17,88.2%,31,74.2%,0,0.0%,0,0.0%,7,28.6%
O2-finline-functions,17,52.9%,8,100.0%,39,38.5%,0,0.0%,5,80.0%,13,92.3%,27,85.2%,0,0.0%,0,0.0%,7,57.1%
O2-fipa-cp-clone,11,27.3%,6,100.0%,49,49.0%,0,0.0%,4,75.0%,7,85.7%,28,75.0%,0,0.0%,0,0.0%,5,0.0%
O2-fpeel-loops,12,33.3%,7,100.0%,40,32.5%,0,0.0%,7,85.7%,11,90.9%,19,57.9%,0,0.0%,0,0.0%,8,37.5%
O2-fpredictive-commoning,14,0.0%,13,0.0%,53,0.0%,0,0.0%,4,0.0%,15,0.0%,22,0.0%,0,0.0%,0,0.0%,7,0.0%
O2-fsplit-loops,11,27.3%,8,87.5%,46,23.9%,0,0.0%,2,50.0%,14,64.3%,15,40.0%,0,0.0%,0,0.0%,7,14.3%
O2-fsplit-paths,12,33.3%,10,100.0%,33,24.2%,0,0.0%,7,85.7%,12,91.7%,20,60.0%,0,0.0%,0,0.0%,10,50.0%
O2-ftree-loop-distribute-patterns,12,33.3%,7,100.0%,47,31.9%,0,0.0%,3,66.7%,10,70.0%,28,60.7%,0,0.0%,0,0.0%,6,16.7%
O2-ftree-loop-vectorize,12,33.3%,7,100.0%,35,22.9%,0,0.0%,3,66.7%,8,87.5%,15,53.3%,0,0.0%,0,0.0%,7,28.6%
O2-ftree-partial-pre,12,33.3%,13,100.0%,47,38.3%,0,0.0%,4,75.0%,17,94.1%,16,56.2%,0,0.0%,0,0.0%,6,16.7%
O2-ftree-slp-vectorize,12,33.3%,8,100.0%,52,36.5%,0,0.0%,4,75.0%,8,87.5%,15,60.0%,0,0.0%,0,0.0%,6,16.7%
O2-funswitch-loops,13,38.5%,12,100.0%,38,31.6%,0,0.0%,3,66.7%,9,88.9%,22,68.2%,0,0.0%,0,0.0%,5,0.0%
