Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O2,2928,1.7949112021857923,1172,1.6484641638225257,2437,1.824784571194091
O2-fgcse-after-reload,2969 (-41),1.7878073425395755 (0.007103859646216737),1088 (84),1.6424632352941178 (0.006000928528407945),2472 (-35),1.8719660194174756 (-0.04718144822338455)
O2-finline-functions,2640 (288),1.6979166666666667 (0.09699453551912551),1066 (106),1.5112570356472796 (0.13720712817524605),2686 (-249),1.7944899478778853 (0.030294623316205804)
O2-fipa-cp-clone,3017 (-89),1.7707988067616838 (0.02411239542410848),1049 (123),1.4485224022878933 (0.1999417615346324),2517 (-80),1.794398092967819 (0.030386478226272162)
O2-fpeel-loops,3061 (-133),1.7770336491342698 (0.0178775530515225),1036 (136),1.4946911196911197 (0.15377304413140602),2357 (80),1.8190496393720832 (0.005734931822007905)
O2-fpredictive-commoning,2928 (0),1.7949112021857923 (0.0),1172 (0),1.6484641638225257 (0.0),2437 (0),1.824784571194091 (0.0)
O2-fsplit-loops,2951 (-23),1.782616062351745 (0.012295139834047175),1109 (63),1.4445446348061317 (0.20391952901639399),2362 (75),1.8367908552074512 (-0.012006284013360125)
O2-fsplit-paths,2942 (-14),1.7804214819850441 (0.014489720200748124),1034 (138),1.556576402321083 (0.09188776150144262),2413 (24),1.8162038955656858 (0.008580675628405254)
O2-ftree-loop-distribute-patterns,2946 (-18),1.78275627970129 (0.01215492248450234),1131 (41),1.5844385499557914 (0.06402561386673433),2414 (23),1.8140016570008286 (0.010782914193262494)
O2-ftree-loop-vectorize,3031 (-103),1.7967667436489607 (-0.0018555414631684641),1068 (104),1.5187265917602997 (0.12973757206222603),2379 (58),1.8270281630937368 (-0.002243591899645736)
O2-ftree-partial-pre,2948 (-20),1.7932496607869741 (0.0016615413988181338),1098 (74),1.6265938069216759 (0.02187035690084982),2418 (19),1.8188585607940446 (0.0059260104000464775)
O2-ftree-slp-vectorize,2962 (-34),1.787643484132343 (0.007267718053449279),1082 (90),1.5536044362292052 (0.09485972759332051),2516 (-79),1.7635135135135136 (0.0612710576805775)
O2-funswitch-loops,3031 (-103),1.789838337182448 (0.005072865003344251),1080 (92),1.4893518518518518 (0.15911231197067388),2398 (39),1.7710592160133445 (0.053725355180746615)
