Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O2,11 of 11,35 of 35,16 of 17
O2-fgcse-after-reload,11 (0),35 (0),16 (0)
O2-finline-functions,10 (1),34 (1),16 (0)
O2-fipa-cp-clone,10 (1),34 (1),16 (0)
O2-fpeel-loops,11 (0),35 (0),16 (0)
O2-fpredictive-commoning,11 (0),35 (0),16 (0)
O2-fsplit-loops,11 (0),35 (0),15 (1)
O2-fsplit-paths,10 (1),35 (0),16 (0)
O2-ftree-loop-distribute-patterns,11 (0),35 (0),16 (0)
O2-ftree-loop-vectorize,10 (1),34 (1),15 (1)
O2-ftree-partial-pre,10 (1),34 (1),16 (0)
O2-ftree-slp-vectorize,11 (0),35 (0),16 (0)
O2-funswitch-loops,10 (1),34 (1),16 (0)
