Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,5928,2925,1507,1389,107
O1_foptimize_sibling_calls,5928 (0; 0.0%),2925 (0; 0.0%),1507 (0; 0.0%),1389 (0; 0.0%),107 (0; 0.0%)
