Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,4,5,15,0,1,0,4,0,0,0
O1_fcse_follow_jumps,4 (0; 0.0%),3 (2; 40.0%),14 (1; 6.7%),0 (0; 0.0%),1 (0; 0.0%),2 (-2; 0.0%),1 (3; 75.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1_foptimize_sibling_calls,4 (0; 0.0%),1 (4; 80.0%),18 (-3; -20.0%),0 (0; 0.0%),1 (0; 0.0%),1 (-1; 0.0%),7 (-3; -75.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1_fpeephole2,5 (-1; -25.0%),1 (4; 80.0%),3 (12; 80.0%),0 (0; 0.0%),1 (0; 0.0%),3 (-3; 0.0%),4 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O1_fstore_merging,4 (0; 0.0%),4 (1; 20.0%),12 (3; 20.0%),0 (0; 0.0%),1 (0; 0.0%),3 (-3; 0.0%),5 (-1; -25.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
