Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,1942,1240,399,274,29
O1_fcse_follow_jumps,1899 (43; 2.2%),1251 (-11; -0.9%),323 (76; 19.0%),300 (-26; -9.5%),25 (4; 13.8%)
O1_foptimize_sibling_calls,1934 (8; 0.4%),1270 (-30; -2.4%),341 (58; 14.5%),291 (-17; -6.2%),32 (-3; -10.3%)
O1_fpeephole2,1811 (131; 6.7%),1251 (-11; -0.9%),271 (128; 32.1%),272 (2; 0.7%),17 (12; 41.4%)
O1_fstore_merging,1906 (36; 1.9%),1279 (-39; -3.1%),321 (78; 19.5%),277 (-3; -1.1%),29 (0; 0.0%)
