Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O1,9 of 11,34 of 35,14 of 17
O1_fcse_follow_jumps,9 (0),31 (3),12 (2)
O1_foptimize_sibling_calls,9 (0),32 (2),12 (2)
O1_fpeephole2,9 (0),33 (1),13 (1)
O1_fstore_merging,9 (0),33 (1),15 (-1)
