Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,16142, ,8906, ,3814, ,3179
O0_fomit_frame_pointer,14322,93.8%,7956,93.4%,3212,97.0%,2925,91.5%
O0_fshrink_wrap,16399,66.1%,8920,57.8%,3522,87.6%,3666,64.2%
