Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,608,522,43,42,1
O1_foptimize_sibling_calls,608 (0; 0.0%),522 (0; 0.0%),43 (0; 0.0%),42 (0; 0.0%),1 (0; 0.0%)
