Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,12,7,34,0,1,21,20,0,0,4
O0-ftree-copy-prop,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-ftree-dce,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-ftree-dominator-opts,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-ftree-dse,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-ftree-fre,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-ftree-pta,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-ftree-sink,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-ftree-slsr,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-ftree-sra,12 (0; 0.0%),7 (0; 0.0%),34 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),21 (0; 0.0%),20 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
O0-ftree-ter,11 (1; 8.3%),5 (2; 28.6%),19 (15; 44.1%),0 (0; 0.0%),6 (-5; -500.0%),28 (-7; -33.3%),32 (-12; -60.0%),0 (0; 0.0%),0 (0; 0.0%),0 (4; 100.0%)
